fips,name,state,bryant17_county,main_source_of_generation_2016,electricity_demand_twh_2016,n_powerplants_2016,solar_generation_mwh_2016,solar_generation_mwh_2018
1105,Perry County,AL,0,COAL,1,8,10672,20035
1107,Pickens County,AL,0,COAL,3,5,10935,20050
1109,Pike County,AL,0,COAL,3,8,10599,20168
1111,Randolph County,AL,1,COAL,2,10,11414,20447
1113,Russell County,AL,1,COAL,1,10,10668,18541
1115,St. Clair County,AL,1,COAL,2,9,11553,20025
1117,Shelby County,AL,1,COAL,2,11,10994,20527
1119,Sumter County,AL,1,COAL,0,9,11037,21453
1121,Talladega County,AL,0,COAL,3,9,10394,20011
1123,Tallapoosa County,AL,0,COAL,2,9,11103,19521
1125,Tuscaloosa County,AL,0,COAL,0,9,11761,20854
1127,Walker County,AL,0,COAL,3,8,10724,21538
1129,Washington County,AL,0,COAL,1,8,11259,20560
1131,Wilcox County,AL,1,GAS,1,12,11065,20093
1133,Winston County,AL,1,GAS,2,7,10767,18908
2013,Aleutians East Borough,AK,1,COAL,1,9,11539,20478
2016,Aleutians West Census Area,AK,1,COAL,3,9,10084,17576.6
2020,Anchorage Municipality,AK,0,COAL,2,6,10450,20344
2050,Bethel Census Area,AK,1,HYDRO,4,10,10695,19841.4
2060,Bristol Bay Borough,AK,0,COAL,1,7,10893,20510
2068,Denali Borough,AK,0,COAL,1,8,10843,20141
2070,Dillingham Census Area,AK,1,WIND,3,8,10757,22262.801
2090,Fairbanks North Star Borough,AK,1,NUCLEAR,4,9,9277,17872
2100,Haines Borough,AK,0,COAL,0,8,11071,20595
2105,Hoonah-Angoon Census Area,AK,0,COAL,1,9,11468,20582
2110,Juneau City and Borough,AK,1,COAL,5,10,11126,19347
2122,Kenai Peninsula Borough,AK,0,COAL,1,6,9712,19114
2130,Ketchikan Gateway Borough,AK,1,GAS,2,10,10556,20366
2150,Kodiak Island Borough,AK,1,HYDRO,3,8,10527,19900.4
2164,Lake and Peninsula Borough,AK,0,COAL,1,7,10937,19347
2170,Matanuska-Susitna Borough,AK,1,WIND,2,11,10503,23184
2180,Nome Census Area,AK,0,COAL,2,9,11308,19974
2185,North Slope Borough,AK,0,COAL,2,7,10776,20603
2188,Northwest Arctic Borough,AK,0,COAL,1,7,10660,20119
2195,Petersburg Borough,AK,1,NUCLEAR,2,10,10996,19807
2198,Prince of Wales-Hyder Census Area,AK,1,NUCLEAR,2,10,11343,18494
2220,Sitka City and Borough,AK,0,COAL,2,7,10504,18489
2230,Skagway Municipality,AK,1,GAS,3,8,11002,20715.199
2240,Southeast Fairbanks Census Area,AK,0,COAL,2,7,10825,19762
2261,Valdez-Cordova Census Area,AK,0,COAL,3,8,11066,20323
2270,Wade Hampton Census Area,AK,1,WIND,3,9,10980,24718.199
2275,Wrangell City and Borough,AK,1,WIND,1,9,10039,23111
2282,Yakutat City and Borough,AK,0,COAL,3,8,10654,20080
2290,Yukon-Koyukuk Census Area,AK,1,NUCLEAR,2,11,10411,18424
4001,Apache County,AZ,1,COAL,0,7,10810,19755.5
4003,Cochise County,AZ,1,COAL,3,9,10872,19837.801
4005,Coconino County,AZ,1,COAL,3,7,10803,19694.4
4007,Gila County,AZ,1,COAL,2,9,11155,19050
4009,Graham County,AZ,1,COAL,0,7,11606,20282.5
4011,Greenlee County,AZ,1,COAL,1,9,10686,20316
4012,La Paz County,AZ,1,COAL,3,9,10853,19526
4013,Maricopa County,AZ,1,COAL,0,10,10384,18662.5
4015,Mohave County,AZ,1,COAL,3,10,10804,19496
4017,Navajo County,AZ,1,COAL,0,11,11787,20045
4019,Pima County,AZ,1,COAL,2,9,10662,18973
4021,Pinal County,AZ,1,COAL,2,8,10532,19211
4023,Santa Cruz County,AZ,1,COAL,1,8,10134,18695
4025,Yavapai County,AZ,1,COAL,1,8,11088,19812
4027,Yuma County,AZ,1,COAL,3,9,10814,19850.199
5001,Arkansas County,AR,0,COAL,5,8,11160,20764
5003,Ashley County,AR,0,COAL,1,7,10097,19735
5005,Baxter County,AR,0,COAL,2,6,10713,19776
5007,Benton County,AR,0,COAL,1,8,11646,19792
5009,Boone County,AR,0,COAL,1,7,10988,20730
5011,Bradley County,AR,1,COAL,4,11,10716,19039.4
5013,Calhoun County,AR,1,COAL,1,9,11248,20386
5015,Carroll County,AR,1,COAL,0,9,10598,19386.5
5017,Chicot County,AR,1,COAL,1,10,10797,19781
5019,Clark County,AR,1,COAL,0,8,10153,19254
5021,Clay County,AR,0,COAL,1,6,10243,19265
5023,Cleburne County,AR,0,COAL,2,7,10181,19889
5025,Cleveland County,AR,0,COAL,2,7,10969,19999
5027,Columbia County,AR,0,COAL,2,8,10932,20613
5029,Conway County,AR,0,COAL,2,7,11183,20867
5031,Craighead County,AR,1,GAS,2,11,10684,20377
5033,Crawford County,AR,1,GAS,4,9,10553,19445.4
5035,Crittenden County,AR,1,GAS,0,10,10529,18983
5037,Cross County,AR,1,GAS,4,9,11466,21831
5039,Dallas County,AR,1,GAS,1,11,10185,19503
5041,Desha County,AR,0,COAL,3,7,11329,21554
5043,Drew County,AR,0,COAL,1,5,11311,20818
5045,Faulkner County,AR,0,COAL,3,8,11383,20643
5047,Franklin County,AR,0,COAL,2,9,10318,19640
5049,Fulton County,AR,0,COAL,2,6,9716,18612
5051,Garland County,AR,1,HYDRO,2,11,9957,19913
5053,Grant County,AR,1,HYDRO,3,11,10937,20497.4
5055,Greene County,AR,1,HYDRO,5,9,10954,19410
5057,Hempstead County,AR,1,HYDRO,2,10,11230,19901
5059,Hot Spring County,AR,1,HYDRO,4,9,10471,21025.199
5061,Howard County,AR,0,COAL,2,7,11205,19924
5063,Independence County,AR,0,COAL,1,9,11073,20904
5065,Izard County,AR,0,COAL,3,9,11597,20708
5067,Jackson County,AR,0,COAL,1,8,10555,20059
5069,Jefferson County,AR,0,COAL,3,5,10412,19769
5071,Johnson County,AR,1,WIND,2,9,10226,22128
5073,Lafayette County,AR,1,WIND,3,10,11013,23842.4
5075,Lawrence County,AR,1,WIND,2,9,11379,23229
5077,Lee County,AR,1,WIND,2,10,11339,21731
5079,Lincoln County,AR,1,WIND,3,9,10101,19848.801
5081,Little River County,AR,0,COAL,3,8,11129,20113
5083,Logan County,AR,0,COAL,2,9,11220,19664
5085,Lonoke County,AR,0,COAL,3,9,11616,21254
5087,Madison County,AR,0,COAL,2,7,10912,20177
5089,Marion County,AR,0,COAL,3,7,10115,19308
5091,Miller County,AR,1,NUCLEAR,1,11,10425,18783
5093,Mississippi County,AR,1,NUCLEAR,4,10,11458,21476
5095,Monroe County,AR,1,NUCLEAR,1,10,10476,19128
5097,Montgomery County,AR,1,NUCLEAR,4,9,10812,20070.6
5099,Nevada County,AR,1,NUCLEAR,3,12,10659,19429.801
5101,Newton County,AR,0,COAL,1,5,10268,18434
5103,Ouachita County,AR,0,COAL,2,8,11105,20304
5105,Perry County,AR,0,COAL,0,6,10265,19395
5107,Phillips County,AR,0,COAL,2,7,10834,20412
5109,Pike County,AR,0,COAL,2,9,11071,20103
5111,Poinsett County,AR,1,COAL,1,9,11359,19983
5113,Polk County,AR,1,COAL,0,10,11376,19199
5115,Pope County,AR,1,COAL,2,10,10554,19606
5117,Prairie County,AR,1,COAL,3,10,11139,18890.199
5119,Pulaski County,AR,1,COAL,2,10,10676,20116
5121,Randolph County,AR,0,COAL,3,6,11004,20276
5123,St. Francis County,AR,0,COAL,0,8,11752,21483
5125,Saline County,AR,0,COAL,1,7,10437,19133
5127,Scott County,AR,0,COAL,2,7,11096,20560
5129,Searcy County,AR,0,COAL,1,8,11204,20525
5131,Sebastian County,AR,1,GAS,0,10,11081,20232.5
5133,Sevier County,AR,1,GAS,1,11,10897,20822
5135,Sharp County,AR,1,GAS,1,9,10894,20074
5137,Stone County,AR,1,GAS,0,11,10731,21519
5139,Union County,AR,1,GAS,3,9,11908,20946
5141,Van Buren County,AR,0,COAL,2,6,10920,20412
5143,Washington County,AR,0,COAL,2,7,10268,19242
5145,White County,AR,0,COAL,5,8,10953,20559
5147,Woodruff County,AR,0,COAL,1,7,10783,20755
5149,Yell County,AR,0,COAL,2,7,12123,20424
6001,Alameda County,CA,1,GAS,2,6,10484,19545
6003,Alpine County,CA,1,GAS,3,7,10670,20584.199
6005,Amador County,CA,1,GAS,2,8,10753,20364
6007,Butte County,CA,1,GAS,1,8,11067,20072
6009,Calaveras County,CA,1,GAS,1,8,11276,20544
6011,Colusa County,CA,1,GAS,1,9,11525,21124
6013,Contra Costa County,CA,1,GAS,1,8,11135,20260
6015,Del Norte County,CA,1,GAS,1,9,10803,20993
6017,El Dorado County,CA,1,GAS,4,9,11359,19994.801
6019,Fresno County,CA,1,GAS,3,9,11172,20021.6
6021,Glenn County,CA,1,GAS,3,8,11964,22098
6023,Humboldt County,CA,1,GAS,1,9,11116,19750
6025,Imperial County,CA,1,GAS,2,8,11022,20051
6027,Inyo County,CA,1,GAS,2,7,11171,20743
6029,Kern County,CA,1,GAS,3,9,11123,19881.801
6031,Kings County,CA,1,GAS,2,9,10223,20133
6033,Lake County,CA,1,GAS,2,9,9694,18853
6035,Lassen County,CA,1,GAS,2,7,10929,21005
6037,Los Angeles County,CA,1,GAS,4,9,11019,20700.4
6039,Madera County,CA,1,GAS,3,9,11522,20126.801
6041,Marin County,CA,1,GAS,2,8,10740,20503
6043,Mariposa County,CA,1,GAS,2,8,11528,21309
6045,Mendocino County,CA,1,GAS,3,9,10052,20477.6
6047,Merced County,CA,1,GAS,2,5,10888,20865
6049,Modoc County,CA,1,GAS,3,5,10153,20042.199
6051,Mono County,CA,1,HYDRO,4,11,10535,19893
6053,Monterey County,CA,1,HYDRO,3,10,10589,19492.199
6055,Napa County,CA,1,HYDRO,2,10,9912,19787
6057,Nevada County,CA,1,HYDRO,2,10,10754,19276
6059,Orange County,CA,1,HYDRO,4,9,11822,21610.801
6061,Placer County,CA,1,GAS,2,7,10352,19172
6063,Plumas County,CA,1,GAS,1,8,11503,20981
6065,Riverside County,CA,1,GAS,1,8,11312,20344
6067,Sacramento County,CA,1,GAS,2,7,11537,21971
6069,San Benito County,CA,1,GAS,2,8,10868,20875
6071,San Bernardino County,CA,1,WIND,2,9,11265,23754
6073,San Diego County,CA,1,WIND,3,10,9734,23928.4
6075,San Francisco County,CA,1,WIND,2,9,11559,21368
6077,San Joaquin County,CA,1,WIND,2,9,11054,21570
6079,San Luis Obispo County,CA,1,WIND,1,9,11744,24116
6081,San Mateo County,CA,1,GAS,2,8,10205,20320
6083,Santa Barbara County,CA,1,GAS,2,7,10625,20277
6085,Santa Clara County,CA,1,GAS,2,9,10855,20244
6087,Santa Cruz County,CA,1,GAS,2,8,10680,20308
6089,Shasta County,CA,1,GAS,0,8,12307,20803.5
6091,Sierra County,CA,1,NUCLEAR,2,9,10748,20011
6093,Siskiyou County,CA,1,NUCLEAR,2,9,11410,20809
6095,Solano County,CA,1,NUCLEAR,3,8,10392,19246.6
6097,Sonoma County,CA,1,NUCLEAR,3,9,11132,19859
6099,Stanislaus County,CA,1,NUCLEAR,3,9,11092,19452.199
6101,Sutter County,CA,1,GAS,2,6,10787,19850
6103,Tehama County,CA,1,GAS,1,6,10036,19283
6105,Trinity County,CA,1,GAS,2,8,11180,20334
6107,Tulare County,CA,1,GAS,2,8,10176,20445
6109,Tuolumne County,CA,1,GAS,2,8,10867,20072
6111,Ventura County,CA,1,GAS,4,9,10986,20589
6113,Yolo County,CA,1,GAS,2,9,10653,20052
6115,Yuba County,CA,1,GAS,2,10,11292,20794
8001,Adams County,CO,0,COAL,3,8,11974,20749
8003,Alamosa County,CO,0,COAL,2,8,10269,19294
8005,Arapahoe County,CO,0,COAL,2,9,11021,20717
8007,Archuleta County,CO,0,COAL,2,6,11215,20526
8009,Baca County,CO,0,COAL,0,6,11200,20543
8011,Bent County,CO,1,COAL,2,10,10785,18788
8013,Boulder County,CO,1,COAL,2,6,11096,20207
8014,Broomfield County,CO,1,COAL,3,10,10541,18815
8015,Chaffee County,CO,1,COAL,2,10,11090,18818
8017,Cheyenne County,CO,1,COAL,1,9,10119,20147
8019,Clear Creek County,CO,1,COAL,2,10,10771,20028
8021,Conejos County,CO,0,COAL,3,7,11442,19801
8023,Costilla County,CO,0,COAL,2,7,10644,18885
8025,Crowley County,CO,0,COAL,2,7,11806,21440
8027,Custer County,CO,0,COAL,2,8,10422,20038
8029,Delta County,CO,0,COAL,2,6,9901,19169
8031,Denver County,CO,1,GAS,0,9,11024,21264
8033,Dolores County,CO,1,GAS,2,9,10842,20167
8035,Douglas County,CO,1,GAS,2,10,11015,20551
8037,Eagle County,CO,1,GAS,1,9,10692,20460
8039,Elbert County,CO,1,GAS,2,10,10599,19989
8041,El Paso County,CO,0,COAL,2,8,11953,21212
8043,Fremont County,CO,0,COAL,2,6,11512,20468
8045,Garfield County,CO,0,COAL,0,5,11301,20217
8047,Gilpin County,CO,0,COAL,1,9,10036,18531
8049,Grand County,CO,0,COAL,2,9,11430,19894
8051,Gunnison County,CO,1,HYDRO,2,9,10168,19944
8053,Hinsdale County,CO,1,HYDRO,4,8,10766,20824.801
8055,Huerfano County,CO,1,HYDRO,2,8,11043,19587
8057,Jackson County,CO,1,HYDRO,2,7,10703,20155
8059,Jefferson County,CO,1,HYDRO,2,10,11259,20819
8061,Kiowa County,CO,0,COAL,1,8,11195,20252
8063,Kit Carson County,CO,0,COAL,3,8,11129,20503
8065,Lake County,CO,0,COAL,3,8,11309,20265
8067,La Plata County,CO,0,COAL,1,7,10945,21034
8069,Larimer County,CO,0,COAL,3,9,10351,19315
8071,Las Animas County,CO,1,WIND,3,8,11385,20466.199
8073,Lincoln County,CO,1,WIND,4,10,11245,23226.801
8075,Logan County,CO,1,WIND,5,9,10807,24823.6
8077,Mesa County,CO,1,WIND,3,9,10734,21671.6
8079,Mineral County,CO,1,WIND,2,12,10042,20926
8081,Moffat County,CO,0,COAL,3,9,11454,20346
8083,Montezuma County,CO,0,COAL,3,8,11364,20646
8085,Montrose County,CO,0,COAL,3,5,11500,20621
8087,Morgan County,CO,0,COAL,3,8,11326,20194
8089,Otero County,CO,0,COAL,1,7,10317,18361
8091,Ouray County,CO,1,NUCLEAR,4,10,10832,20183.6
8093,Park County,CO,1,NUCLEAR,3,8,10278,18360.199
8095,Phillips County,CO,1,NUCLEAR,1,9,10480,18550
8097,Pitkin County,CO,1,NUCLEAR,0,9,11429,20281.5
8099,Prowers County,CO,1,NUCLEAR,2,10,10161,18162
8101,Pueblo County,CO,0,COAL,3,8,10769,20311
8103,Rio Blanco County,CO,0,COAL,3,8,11054,20386
8105,Rio Grande County,CO,0,COAL,0,7,10303,19058
8107,Routt County,CO,0,COAL,1,8,11639,20759
8109,Saguache County,CO,0,COAL,3,7,10266,18271
8111,San Juan County,CO,1,COAL,4,10,10985,19138.4
8113,San Miguel County,CO,1,COAL,2,9,11437,19448
8115,Sedgwick County,CO,1,COAL,3,9,11471,20658.4
8117,Summit County,CO,1,COAL,0,9,12247,21809.5
8119,Teller County,CO,1,COAL,2,11,10725,19858
8121,Washington County,CO,0,COAL,1,8,11383,20220
8123,Weld County,CO,0,COAL,2,7,11152,20029
8125,Yuma County,CO,0,COAL,1,8,11140,20367
9001,Fairfield County,CT,0,COAL,1,6,10581,19692
9003,Hartford County,CT,0,COAL,2,9,10926,19864
9005,Litchfield County,CT,0,COAL,2,7,10500,19713
9007,Middlesex County,CT,0,COAL,1,7,11007,20960
9009,New Haven County,CT,0,COAL,2,7,10761,20068
9011,New London County,CT,1,COAL,4,9,10828,20037.199
9013,Tolland County,CT,1,COAL,2,9,10718,19617
9015,Windham County,CT,1,COAL,1,9,10782,18389
10001,Kent County,DE,0,COAL,4,8,10455,19730
10003,New Castle County,DE,0,COAL,0,7,11828,20994
10005,Sussex County,DE,0,COAL,1,8,10439,20183
11001,District of Columbia,DC,0,COAL,1,6,11294,20767
12001,Alachua County,FL,1,GAS,3,9,11211,20458.801
12003,Baker County,FL,1,GAS,0,8,10912,20731.5
12005,Bay County,FL,1,GAS,2,8,10808,20436
12007,Bradford County,FL,1,GAS,3,7,10135,18651
12009,Brevard County,FL,1,GAS,3,5,10388,19659.6
12011,Broward County,FL,1,GAS,1,7,11075,19587
12013,Calhoun County,FL,1,GAS,2,8,11361,20951
12015,Charlotte County,FL,1,GAS,3,9,11987,21417.199
12017,Citrus County,FL,1,GAS,1,8,11046,19627
12019,Clay County,FL,1,GAS,0,7,11040,20040
12021,Collier County,FL,1,GAS,3,8,11241,20715
12023,Columbia County,FL,1,GAS,1,8,10582,20842
12027,DeSoto County,FL,1,GAS,1,7,11333,20367
12029,Dixie County,FL,1,GAS,3,7,11173,20905.4
12031,Duval County,FL,1,GAS,2,8,10624,20117
12033,Escambia County,FL,1,GAS,1,10,10967,20407
12035,Flagler County,FL,1,GAS,2,5,9909,19194
12037,Franklin County,FL,1,GAS,3,8,11463,21282.801
12039,Gadsden County,FL,1,GAS,0,7,10895,20227
12041,Gilchrist County,FL,1,GAS,1,6,10894,20673
12043,Glades County,FL,1,GAS,1,8,9813,18917
12045,Gulf County,FL,1,GAS,2,7,9787,19331
12047,Hamilton County,FL,1,GAS,0,5,10852,19680.5
12049,Hardee County,FL,1,GAS,2,8,11880,20879
12051,Hendry County,FL,1,GAS,3,8,10223,19361.6
12053,Hernando County,FL,1,GAS,0,7,11254,20955.5
12055,Highlands County,FL,1,GAS,1,7,10498,19405
12057,Hillsborough County,FL,1,GAS,1,7,10725,20545
12059,Holmes County,FL,1,GAS,2,9,11041,19363
12061,Indian River County,FL,1,GAS,4,8,10980,21064
12063,Jackson County,FL,1,GAS,2,7,11801,21056
12065,Jefferson County,FL,1,GAS,2,8,10937,20235
12067,Lafayette County,FL,1,GAS,1,7,11033,20424
12069,Lake County,FL,1,GAS,2,6,9963,18833
12071,Lee County,FL,1,GAS,1,9,9716,18154
12073,Leon County,FL,1,GAS,2,6,10062,19800
12075,Levy County,FL,1,GAS,2,7,11336,20027
12077,Liberty County,FL,1,GAS,1,7,10905,20495
12079,Madison County,FL,1,GAS,2,8,11709,20886
12081,Manatee County,FL,1,GAS,1,8,10751,20567
12083,Marion County,FL,1,GAS,2,7,11649,20784
12085,Martin County,FL,1,GAS,0,8,10670,20599
12086,Miami-Dade County,FL,1,GAS,2,7,10979,20315
12087,Monroe County,FL,1,GAS,3,6,10686,20513
12089,Nassau County,FL,1,GAS,2,7,11001,20476
12091,Okaloosa County,FL,1,GAS,1,7,10995,20887
12093,Okeechobee County,FL,1,GAS,1,8,11073,20759
12095,Orange County,FL,1,GAS,1,7,10807,20677
12097,Osceola County,FL,1,GAS,1,9,10713,19779
12099,Palm Beach County,FL,1,GAS,0,8,11116,20008
12101,Pasco County,FL,1,GAS,3,11,10724,19146.801
12103,Pinellas County,FL,1,GAS,4,9,10707,19669.4
12105,Polk County,FL,1,GAS,1,10,10259,19815
12107,Putnam County,FL,1,GAS,1,9,10937,21633
12109,St. Johns County,FL,1,GAS,2,9,9742,19102
12111,St. Lucie County,FL,1,GAS,2,10,10415,19794
12113,Santa Rosa County,FL,1,GAS,1,9,10604,20323
12115,Sarasota County,FL,1,GAS,2,11,11792,21187
12117,Seminole County,FL,1,GAS,1,9,10123,19626
12119,Sumter County,FL,1,GAS,2,8,11174,21040
12121,Suwannee County,FL,1,GAS,2,8,10816,19522
12123,Taylor County,FL,1,GAS,2,11,10350,20288
12125,Union County,FL,1,GAS,2,10,10690,21283
12127,Volusia County,FL,1,GAS,0,11,12036,21024.5
12129,Wakulla County,FL,1,GAS,2,9,11199,20338
12131,Walton County,FL,1,GAS,2,9,10436,19346
12133,Washington County,FL,1,GAS,3,9,10987,20611.6
13001,Appling County,GA,0,COAL,1,8,10666,19354
13003,Atkinson County,GA,0,COAL,0,seven,10380,20306
13005,Bacon County,GA,0,COAL,1,8,10796,19829
13007,Baker County,GA,0,COAL,2,6,9486,19598
13009,Baldwin County,GA,0,COAL,0,6,10463,19677
13011,Banks County,GA,0,COAL,2,8,10674,20100
13013,Barrow County,GA,0,COAL,2,6,11674,20864
13015,Bartow County,GA,0,COAL,0,8,10717,21126
13017,Ben Hill County,GA,0,COAL,1,seven,10544,19880
13019,Berrien County,GA,0,COAL,2,6,10966,20266
13021,Bibb County,GA,0,COAL,4,seven,10698,20627
13023,Bleckley County,GA,0,COAL,2,6,12127,21371
13025,Brantley County,GA,0,COAL,0,6,11555,21275
13027,Brooks County,GA,0,COAL,0,6,10833,20436
13029,Bryan County,GA,0,COAL,3,6,10989,21026
13031,Bulloch County,GA,0,COAL,3,6,9668,19853
13033,Burke County,GA,0,COAL,0,8,10305,19688
13035,Butts County,GA,0,COAL,2,seven,10845,20571
13037,Calhoun County,GA,0,COAL,4,8,10973,19930
13039,Camden County,GA,0,COAL,3,6,10918,19410
13043,Candler County,GA,0,COAL,3,6,11254,21201
13045,Carroll County,GA,0,COAL,5,6,11027,19337
13047,Catoosa County,GA,0,COAL,2,6,10465,19566
13049,Charlton County,GA,0,COAL,0,8,9823,19181
13051,Chatham County,GA,0,COAL,1,seven,9826,19166
13053,Chattahoochee County,GA,0,COAL,2,seven,11142,20308
13055,Chattooga County,GA,0,COAL,2,6,10784,19832
13057,Cherokee County,GA,0,COAL,1,seven,10739,19384
13059,Clarke County,GA,0,COAL,2,9,10977,20442
13061,Clay County,GA,0,COAL,1,seven,11620,20473
13063,Clayton County,GA,0,COAL,2,11,10019,19258
13065,Clinch County,GA,0,COAL,3,9,10797,19514
13067,Cobb County,GA,0,COAL,2,seven,11612,20656
13069,Coffee County,GA,0,COAL,2,seven,11674,21172
13071,Colquitt County,GA,0,COAL,1,8,10443,20767
13073,Columbia County,GA,0,COAL,2,9,10095,19155
13075,Cook County,GA,0,COAL,3,seven,10548,19836
13077,Coweta County,GA,0,COAL,1,seven,10799,19177
13079,Crawford County,GA,0,COAL,1,9,11099,20300
13081,Crisp County,GA,0,COAL,3,seven,10468,19495
13083,Dade County,GA,0,COAL,3,seven,10653,19919
13085,Dawson County,GA,0,COAL,2,6,10759,19163
13087,Decatur County,GA,0,COAL,0,8,10677,20051
13089,DeKalb County,GA,0,COAL,3,seven,10991,20610
13091,Dodge County,GA,0,COAL,2,6,10246,19327
13093,Dooly County,GA,0,COAL,0,seven,11499,20132
13095,Dougherty County,GA,0,COAL,3,6,11109,21034
13097,Douglas County,GA,0,COAL,3,9,11178,20401
13099,Early County,GA,0,COAL,2,8,10706,19755
13101,Echols County,GA,1,COAL,1,11,10791,20529
13103,Effingham County,GA,1,COAL,2,10,11457,20142
13105,Elbert County,GA,1,COAL,2,11,10391,18842
13107,Emanuel County,GA,1,COAL,3,11,10499,19623.4
13109,Evans County,GA,1,COAL,1,9,11292,19640
13111,Fannin County,GA,1,COAL,2,8,11445,20298
13113,Fayette County,GA,1,COAL,2,11,10549,18678
13115,Floyd County,GA,1,COAL,3,10,11829,21310.801
13117,Forsyth County,GA,1,COAL,1,9,10361,19119
13119,Franklin County,GA,1,COAL,1,9,10812,19516
13121,Fulton County,GA,1,COAL,2,8,11147,20101
13123,Gilmer County,GA,1,COAL,2,10,11282,19948
13125,Glascock County,GA,1,COAL,2,10,11315,19801
13127,Glynn County,GA,1,COAL,0,8,10306,18536
13129,Gordon County,GA,1,COAL,2,10,11035,19865
13131,Grady County,GA,1,COAL,1,9,10672,18891
13133,Greene County,GA,1,COAL,3,11,9714,18927.801
13135,Gwinnett County,GA,1,COAL,0,12,10350,19474
13137,Habersham County,GA,1,COAL,0,11,10983,20305
13139,Hall County,GA,1,COAL,2,10,11636,20590
13141,Hancock County,GA,1,COAL,2,9,11280,20119
13143,Haralson County,GA,1,COAL,1,9,10450,19093
13145,Harris County,GA,1,COAL,1,10,10843,19365
13147,Hart County,GA,1,COAL,2,9,10733,19898
13149,Heard County,GA,1,COAL,3,9,10316,19050.4
13151,Henry County,GA,1,COAL,2,9,11120,19299
13153,Houston County,GA,1,COAL,4,9,10030,19086.801
13155,Irwin County,GA,1,COAL,1,11,10819,19953
13157,Jackson County,GA,1,COAL,1,10,11418,20783
13159,Jasper County,GA,1,COAL,2,9,10762,18635
13161,Jeff Davis County,GA,1,COAL,2,11,10447,18302
13163,Jefferson County,GA,1,COAL,4,9,12048,21397.4
13165,Jenkins County,GA,1,COAL,1,10,11215,19449
13167,Johnson County,GA,1,COAL,2,10,11665,21034
13169,Jones County,GA,1,COAL,0,10,10827,19142.5
13171,Lamar County,GA,1,COAL,1,9,10099,18306
13173,Lanier County,GA,1,COAL,1,8,10595,19726
13175,Laurens County,GA,1,COAL,2,10,11870,20383
13177,Lee County,GA,1,COAL,1,9,10537,18646
